DUYTHANH,,,TRIEN LAM,CÔNG TY TNHH XU?T KH?U HÀNG TCMN DUY THÀNH,"Lô A5-5, A5-6 khu ??o Xanh, p. Hòa C??ng B?c, H?i Châu, ?à N?ng",
FECON MILTEC,,,VT & VTND,CÔNG TY C? PH?N FECON MILTEC,"Lô NX_D2, KCN Long H?u, Long H?u, C?n Giu?c, Long An.",
FIAN,,,VT & VTND,CÔNG TY C? PH?N TI?P V?N FIAN,"Phòng TH6, L?u 3, S? 02 Phùng Kh?c Khoan, P.?a Kao, Qu?n 1, TP HCM",
GEA,,,TRIEN LAM,CÔNG TY TNHH GEA REFRIGERATION VI?T NAM,"3G Ph? Quang, Ph??ng 2, Q. Tân Bình, Tp.HCM",
GLOBE EXPRESS,,,VT & VTND,CÔNG TY TNHH GLOBE EXPRESS VI?T NAM,"P.102, L?u 01, S? 43 M?c ??nh Chi, Quân 1, TP HCM",
HANHTRANG,,,HAIQUAN,CÔNG TY CP S?N XU?T - TH??NG M?I XU?T NH?P KH?U V? H?NH TRANG,"106/26 Tôn Th?t Hi?p, Ph??ng 13, Qu?n 11, TP CHM",
HIEN UYEN VI,,,TRIEN LAM,DOANH NGHI?P T? NHÂN HI?N UYÊN VI,"22C/4 ???ng 672, P.Ph??c Long B, Qu?n 9, TP HCM",
HITACHI ,,,TRIEN LAM,CÔNG TY TNHH HITACHI TRANSPORT SYSTEM,"S? 20, ???ng Sông Thao, ph??ng 2, Qu?n Tân Bình, TP HCM",
HOANG MANH LONG,,,VT & VTND,CÔNG TY TNHH GIAO NH?N V?N T?I QU?C T? HOÀNG M?NH LONG,"218/28 Tô Ng?c Vân, Ph??ng Linh ?ông, Qu?n Th? ??c, TP HCM",
HOMY,,,VT & VTND,CÔNG TY TNHH TMDV HOMY,"144 ???ng D1, Ph??ng 25, Qu?n Bình Th?nh, Tp.HCM",
HONAI,,,TRIEN LAM,CÔNG TY TNHH H? NAI,"Khu ph? 8, ph??ng Long Bình, Biên Hòa, ??ng Nai",
ISHIDA,,,TRIEN LAM,CÔNG TY TNHH ISHIDA VI?T NAM,"R4 - 51 H?ng Ph??c 4, Ph??ng Tân Phong, Qu?n 7, TP HCM.",
JARDINE,,,VT & VTND,CÔNG TY TNHH D?CH V? HÀNG H?I JARDINE (VI?T NAM),"Phòng 304, L?u 3, S? 2 Bis 4-6 Lê Thánh Tôn, Ph??ng B?n Nghé, Qu?n 1, TP HCM",
JORDAN,,,VT & VTND,CÔNG TY TNHH MTV JORDAN MANUFACTURING VI?T NAM,"Lô IV, 16A-16B, Nhóm Công Nghi?p IV, KCN Tân Bình, P.Tây Th?nh, Q.Tân Phú, TP HCM",
KIMLIEN,,,VT & VTND,CÔNG TY TNHH GIAO NH?N V?N T?I D?U KHÍ KIM LIÊN,"99 Lê V?n L??ng, Xã Ph??c Ki?n, Huy?n Nhà Bè, Tp HCM",
LAMVINH,,,VT & VTND,CÔNG TY TNHH V?N T?I LÂM VINH,"448B Nguy?n T?t Thành, Ph??ng 18, Qu?n 4, Tp.HCM",
LONGPHU,,,VT & VTND,CTY TNHH DV VT LONG PHÚ LIBERTY,"236/3 ?i?n Biên Ph?, P.17, Q.Bình Th?nh, TP HCM",
MAICO,,,TRIEN LAM,CÔNG TY TNHH MAICO,"216/5 KP 4, P. An Phú, TX. Thu?n An, Bình D??ng.",
MAMXANHVIET,,,HAIQUAN,CÔNG TY TNHH M?M XANH VI?T,"28/1/29 ???ng s? 10, khu ph? 3, P.Linh Trung, Q.Th? ??c, Tp HCM",
MAREL FOOD SYSTEM,,,TRIEN LAM,VP?D MAREL FOOD SYSTEMS LTD.T?I TP.HCM,"10 H?ng Ph??c 3, Tân Phong, Qu?n 7, TP HCM",
MIENHUA,,,VT & VTND,CÔNG TY TNHH C? KHÍ CHÍNH XÁC MIEN HUA,"Qu?c L? 1A, P.Tân Khánh, TP Tân An, Long An",
MINHANH,,,VT & VTND,CÔNG TY TNHH QU?C T? MINH ANH,"36 Tr?n V?n Quang, Ph??ng 10, Qu?n Tân Bình, Tp HCM",
MKP,,,VT & VTND,CÔNG TY TNHH MKP SHIPPING,"52 ???ng 239, C? Xá Bùi Minh Tr?c, Ph??ng 5, Qu?n 8, TP HCM",
MUOIMIENNAM,,,VT & VTND,CÔNG TY CP T?P ?ÒAN MU?I MI?N NAM,"173 Hai Bà Tr?ng, Ph??ng 6, Qu?n 3, Tp.HCM",
NGUYENTHANH,,,VT & VTND,CÔNG TY TNHH V?N T?I NGUYÊN THÀNH,"63A An Phú ?ông 27, Ph??ng An Phú ?ông, Qu?n 12, Tp.HCM",
NHABE,,,VT & VTND,CÔNG TY C? PH?N ??U T? NHÀ BÈ,"Khu ph? 3, B?n Nghé, Ph??ng Tân Thu?n ?ông, Qu?n 7, TP HCM",
OTRAN LOGISTICS,,,VT & VTND,CÔNG TY C? PH?N OTRAN LOGISTICS,"???ng s? 4, KCN Phú M? 1, Th? Tr?n Phú M?, Huy?n Tân Thành, Bà R?a - V?ng Tàu",
PEB,,,VT & VTND,CÔNG TY TNHH NHÀ THÉP PEB,"KCN ?ông Xuyên, P. R?ch D?a, TP V?ng Tàu",
PHUONGNHUNG,,,VT & VTND,CÔNG TY TNHH TM & DV GIAO NH?N V?N T?I PH??NG NHUNG,"193/2D Bùi Th? xuân, Ph??ng 1, Qu?n tân Bình, TP HCM",
PROMANA,,,TRIEN LAM,CÔNG TY C? PH?N T? V?N ??U T? QU?C T? PROMANA,"193-203 Tr?n H?ng ??o, Ph??ng Cô Giang, Qu?n 1, TP HCM",
SCG-TRADING,,,"HAIQUAN, VT & VTND",CÔNG TY TNHH SCG TRADING VI?T NAM,"117 - 119 Lý Chính Th?ng, Ph??ng 7, Qu?n 3, Tp.HCM",
SON HA,,,TRIEN LAM,CÔNG TY C? PH?N QU?C T? S?N HÀ,"Lô CN1- C?m Công Nghi?p T? Liêm , Ph??ng Minh Khai, qu?n B?c T? Liêm, TP Hà N?i, Vi?t Nam",
SONGLONG,,,VT & VTND,CÔNG TY SONG LONG,,
SONMAI,,,TRIEN LAM,CÔNG TY TNHH TH? GI?I S?N MÀI,"788 La Thành, Ph??ng Gi?ng Võ, Qu?n Ba ?ình, Tp Hà N?i, Vi?t Nam",
SONMAI VIET,,,TRIEN LAM,CÔNG TY TNHH N?I TH?T - S?N MÀI VI?T,"Thôn B?i Khê, Xã Chuyên M?, Huy?n Phú xuyên, Hà N?i",
SURINT,,,VT & VTND,CÔNG TY TNHH SURINT OMYA VIET NAM,"khu công nghi?p Gò d?u, Long Thành, ??ng Nai",
T & A,,,VT & VTND,CÔNG TY TNHH D?CH V? GIAO NH?N T & A,"49 Phòng 05 t?ng tr?t, Tr??ng S?n, Ph??ng 2, Qu?n Tân Bình, Tp HCM, Vi?t Nam",
T.A.M,,,VT & VTND,CÔNG TY TNHH GIAO NH?N V?N T?I T.A.M,"649/40 ?i?n Biên Ph?, Ph??ng 25, Q. Bình Th?nh, Tp. H? Chí Minh",
T.M VINA,,,VT & VTND,CÔNG TY TNHH T.M VINA,"Lô H1- H2, KCN Minh H?ng, Xã Minh H?ng, Huy?n Ch?n Thành, Bình Ph??c",
TAC,,,TRIEN LAM,CÔNG TY TNHH GIAO NH?N T.A.C,"2A Nguy?n Th? Minh Khai, P. ?a Kao, Qu?n 1, Tp.HCM",
TCL,,,VT & VTND,CÔNG TY ?I?N VÀ ?I?N T? TCL (VI?T NAM),"Ph??ng Tân Biên, Thành ph? Biên Hòa, T?nh ??ng Nai",
THANHDONG,,,TRIEN LAM,CÔNG TY C? PH?N THÀNH ??NG,"Bình D??ng, ?ông Tri?u, Qu?ng Ninh",
THIETKE Q8,,,TRIEN LAM,CÔNG TY TNHH THI?T K? QU?N TÁM,"343-345 B?n Bình ?ông, P. 11, Q. 8, TP HCM",
TICO,,,HAI QUAN,CÔNG TY C? PH?N QU?C T? TICO,"Sô? 1, nga?ch 165/53 ????ng Câ?u Giâ?y, Ph???ng Di?ch Vo?ng, Qu?n C?u Gi?y, TP.Hà N?i",
TQ DAITIN,,,TRIEN LAM,CÔNG TY C? PH?N THÔNG QUAN ??I TÍN,"S? 06 Lê V?n Thiêm, P??ng Tân Phong, Qu?n 7, TP HCM",
TT THANHCONG,,,VT & VTND,CÔNG TY C? PH?N V?N T?I QU?C T? TI?N T?I THÀNH CÔNG,"Phòng 65, t?ng 3, 49 Hoàng V?n Th?, Ph??ng 15, Qu?n Phú Nhu?n, TP HCM",
VPTONGCUCDAYNGHE,,,TRIEN LAM,V?N PHÒNG T?NG C?C D?Y NGH?,"37B Nguy?n B?nh Khiêm, Hai Bà Tr?ng, Hà N?i",
YNG HUA,,,VT & VTND,CÔNG TY TNHH YNG HUA VI?T NAM,"Lô 24, KCN Biên Hòa 2, P.An Bình, TP Biên Hòa, ??ng Nai",
